metric,model,OR,OR_CI_95,p_value
AUC,logit(P(Response)) ~ AUC,0.9974070960283998,"[0.852, 1.159]",0.9734966252244144
Cmax,logit(P(Response)) ~ Cmax,0.8759967492769739,"[0.286, 2.552]",0.8119599999790071
