metric,model,Slope_Beta,se,CI_95,p_value
AUC,log(AUC) ~ log(Dose),1.0164681399331144,0.02409165474402233,"[0.969, 1.064]",3.188710217320341e-116
Cmax,log(Cmax) ~ log(Dose),0.9994326623017852,0.0250710925957884,"[0.950, 1.049]",8.094774805038887e-111
