"n_per_arm","p_control_true","p_treatment_true","events_control","events_treatment","prop_control","prop_treatment","risk_difference","p_value","rd_lcl","rd_ucl","odds_ratio","or_lcl","or_ucl","reject_h0"
96,0.35,0.55,30,61,0.3125,0.635416666666667,0.322916666666667,7.44523858773332e-06,0.18924906332268,0.456584270010653,3.83428571428309,2.10606266374314,6.98067877649269,1
96,0.35,0.55,34,46,0.354166666666667,0.479166666666667,0.125,0.0789825792637832,-0.013344543417969,0.263344543417969,1.67764705882346,0.940208158786309,2.993485674079,0
96,0.35,0.55,33,55,0.34375,0.572916666666667,0.229166666666667,0.00144000496059492,0.0919882787147553,0.366345054618578,2.56097560975584,1.42831032556143,4.59185651492527,1
96,0.35,0.55,37,53,0.385416666666667,0.552083333333333,0.166666666666667,0.0206718429062943,0.0274773109929108,0.305856022340423,1.9654305468259,1.10582614457235,3.49324100660528,1
96,0.35,0.55,37,50,0.385416666666667,0.520833333333333,0.135416666666667,0.0594718412671982,-0.00409984559128132,0.274933178924615,1.73325499412455,0.976450201467342,3.07662681634276,0
96,0.35,0.55,35,46,0.364583333333333,0.479166666666667,0.114583333333333,0.107954206431581,-0.0241842591124564,0.253350925779123,1.60342857142854,0.900334931143698,2.85558528802993,0
96,0.35,0.55,29,54,0.302083333333333,0.5625,0.260416666666667,0.000270542297213738,0.125198867754808,0.395634465578526,2.97044334975049,1.64060808147935,5.37820933206706,1
96,0.35,0.55,34,54,0.354166666666667,0.5625,0.208333333333333,0.00376957206341766,0.0704918626484239,0.346174804018243,2.34453781512595,1.31139546751253,4.19160939833206,1
96,0.35,0.55,36,59,0.375,0.614583333333333,0.239583333333333,0.000900354515236328,0.102262586681647,0.37690407998502,2.65765765765762,1.48383106077244,4.76007303798409,1
96,0.35,0.55,38,53,0.395833333333333,0.552083333333333,0.15625,0.0301582260164424,0.0167334877420521,0.295766512257948,1.8812729498164,1.05995997478663,3.33898259924704,1
96,0.35,0.55,28,60,0.291666666666667,0.625,0.333333333333333,3.57069200859036e-06,0.20049662935307,0.466170037313596,4.04761904761262,2.21321688734792,7.40244665954467,1
96,0.35,0.55,41,55,0.427083333333333,0.572916666666667,0.145833333333333,0.0433081428107919,0.00589731505248947,0.285769351614177,1.7995240928019,1.01572709099724,3.18814668750751,1
96,0.35,0.55,39,50,0.40625,0.520833333333333,0.114583333333333,0.111395725000336,-0.0255542214434166,0.254720888110083,1.58862876254181,0.897352438990048,2.81243047382313,0
96,0.35,0.55,32,54,0.333333333333333,0.5625,0.229166666666667,0.00140902571869992,0.0922734402407325,0.366059893092601,2.57142857142806,1.43199825420525,4.61749508320895,1
96,0.35,0.55,27,55,0.28125,0.572916666666667,0.291666666666667,4.40530463140771e-05,0.15795034767871,0.425382985654624,3.42818428183542,1.87907735466198,6.25437129613941,1
96,0.35,0.55,33,48,0.34375,0.5,0.15625,0.0283804816241854,0.0182983253919655,0.294201674608034,1.90909090909072,1.06792454177471,3.41281425475633,1
96,0.35,0.55,37,57,0.385416666666667,0.59375,0.208333333333333,0.00388467205486968,0.0700201783544337,0.346646488312233,2.33056133056132,1.30663786496951,4.15686416345703,1
96,0.35,0.55,44,56,0.458333333333333,0.583333333333333,0.125,0.0829968426819116,-0.0152149916809171,0.265214991680917,1.65454545454546,0.934928340961431,2.92805399218288,0
96,0.35,0.55,29,57,0.302083333333333,0.59375,0.291666666666667,4.83302583856645e-05,0.157173297153109,0.426160036180224,3.37665782493001,1.85981344591129,6.13062460201447,1
96,0.35,0.55,28,62,0.291666666666667,0.645833333333333,0.354166666666667,8.78400047075925e-07,0.222182539824458,0.486150793508875,4.42857142856423,2.41311139666694,8.12736822882874,1
96,0.35,0.55,30,52,0.3125,0.541666666666667,0.229166666666667,0.00132854497427374,0.0930367913200671,0.365296542013266,2.59999999999825,1.4420512181378,4.68776692184377,1
96,0.35,0.55,30,51,0.3125,0.53125,0.21875,0.00214934018921547,0.0825085362363461,0.354991463763654,2.49333333333166,1.38346717663641,4.49357326005904,1
96,0.35,0.55,26,39,0.270833333333333,0.40625,0.135416666666667,0.0474119610089071,0.00292361226533885,0.267909721067994,1.842105263153,1.00384761945521,3.38034551735806,1
96,0.35,0.55,30,52,0.3125,0.541666666666667,0.229166666666667,0.00132854497427374,0.0930367913200671,0.365296542013266,2.59999999999825,1.4420512181378,4.68776692184377,1
96,0.35,0.55,34,55,0.354166666666667,0.572916666666667,0.21875,0.0023722378268067,0.0811134278468516,0.356386572153148,2.44619799139158,1.36715552486287,4.3768865387048,1
96,0.35,0.55,28,49,0.291666666666667,0.510416666666667,0.21875,0.00198640577729942,0.0835964375758098,0.35390356242419,2.53191489361298,1.39673828902753,4.58968804597069,1
96,0.35,0.55,34,51,0.354166666666667,0.53125,0.177083333333333,0.0135110408315488,0.0388172743736115,0.315349392293055,2.06666666666658,1.1578782092781,3.68873952103619,1
96,0.35,0.55,35,57,0.364583333333333,0.59375,0.229166666666667,0.00148199378681015,0.0916089829089218,0.366724350424412,2.54725274725271,1.42346061008903,4.55825508089097,1
96,0.35,0.55,31,53,0.322916666666667,0.552083333333333,0.229166666666667,0.00137175537400953,0.0926227797478425,0.365710553585491,2.58439609902376,1.43656589964471,4.64935385024879,1
96,0.35,0.55,35,59,0.364583333333333,0.614583333333333,0.25,0.000530520160843062,0.113075059632617,0.386924940367383,2.77915057915053,1.54900814931513,4.98620872008172,1
96,0.35,0.55,29,54,0.302083333333333,0.5625,0.260416666666667,0.000270542297213738,0.125198867754808,0.395634465578526,2.97044334975049,1.64060808147935,5.37820933206706,1
96,0.35,0.55,30,55,0.3125,0.572916666666667,0.260416666666667,0.000280837427246423,0.124814087847978,0.396019245485355,2.95121951219315,1.63358354129876,5.33165056390381,1
96,0.35,0.55,34,57,0.354166666666667,0.59375,0.239583333333333,0.000886484326413921,0.102452431122631,0.376714235544036,2.6651583710406,1.48652490685019,4.77830483027596,1
96,0.35,0.55,37,61,0.385416666666667,0.635416666666667,0.25,0.000530520160843061,0.113075059632617,0.386924940367383,2.77915057915052,1.54900814931512,4.98620872008171,1
96,0.35,0.55,32,61,0.333333333333333,0.635416666666667,0.302083333333333,2.81628397280006e-05,0.167315832813962,0.436850833852705,3.48571428571355,1.92455200102707,6.31326359336787,1
96,0.35,0.55,38,51,0.395833333333333,0.53125,0.135416666666667,0.059917991308757,-0.00434859374913169,0.275181927082465,1.72982456140351,0.975589428347282,3.06716424582828,0
96,0.35,0.55,40,43,0.416666666666667,0.447916666666667,0.03125,0.662083516956197,-0.108825574431048,0.171325574431048,1.13584905660377,0.64147274770876,2.01123599404013,0
96,0.35,0.55,32,47,0.333333333333333,0.489583333333333,0.15625,0.0278189638162015,0.0188028360634041,0.293697163936596,1.91836734693839,1.07057758564762,3.437521322262,1
96,0.35,0.55,35,52,0.364583333333333,0.541666666666667,0.177083333333333,0.0137168854717795,0.0385036032378194,0.315663063428847,2.05974025974023,1.15571492742728,3.67091385333143,1
96,0.35,0.55,34,55,0.354166666666667,0.572916666666667,0.21875,0.0023722378268067,0.0811134278468516,0.356386572153148,2.44619799139158,1.36715552486287,4.37688653870481,1
96,0.35,0.55,38,51,0.395833333333333,0.53125,0.135416666666667,0.059917991308757,-0.00434859374913169,0.275181927082465,1.72982456140351,0.975589428347283,3.06716424582828,0
96,0.35,0.55,37,48,0.385416666666667,0.5,0.114583333333333,0.109989614069621,-0.0249954075237205,0.254162074190387,1.59459459459459,0.898552157104387,2.82981004609051,0
96,0.35,0.55,30,48,0.3125,0.5,0.1875,0.00816942752118555,0.0511151995699135,0.323884800430086,2.19999999999852,1.22135723870153,3.96280453140725,1
96,0.35,0.55,28,54,0.291666666666667,0.5625,0.270833333333333,0.000148640051098989,0.136243147944361,0.405423518722306,3.12244897958689,1.71894001293321,5.67191848276677,1
96,0.35,0.55,27,56,0.28125,0.583333333333333,0.302083333333333,2.3925471596111e-05,0.168610770370491,0.435555896296176,3.5777777777701,1.95928958958306,6.53323219556814,1
96,0.35,0.55,41,44,0.427083333333333,0.458333333333333,0.03125,0.66292119309796,-0.109197046219915,0.171697046219915,1.13508442008628,0.642018976007108,2.00682018580763,0
96,0.35,0.55,26,63,0.270833333333333,0.65625,0.385416666666667,8.56775749953323e-08,0.255304514942359,0.515528818390974,5.13986013984593,2.77476345302094,9.52087005053171,1
96,0.35,0.55,41,48,0.427083333333333,0.5,0.0729166666666667,0.311031646682428,-0.0677774825307061,0.21361081586404,1.34146340535292,0.759495374934839,2.36936804000344,0
96,0.35,0.55,35,56,0.364583333333333,0.583333333333333,0.21875,0.00240369474987594,0.0809242799259727,0.356575720074027,2.43999999999995,1.36500266496129,4.36160320622422,1
96,0.35,0.55,31,56,0.322916666666667,0.583333333333333,0.260416666666667,0.000289630947372397,0.124494270000882,0.396339063332451,2.93548387096662,1.62782031460807,5.29362207817137,1
96,0.35,0.55,29,53,0.302083333333333,0.552083333333333,0.25,0.00046258458994207,0.114605707890736,0.385394292109264,2.84763432237063,1.57381992838134,5.15244538953278,1
96,0.35,0.55,32,53,0.333333333333333,0.552083333333333,0.21875,0.00227939993309564,0.081682437701319,0.355817562298681,2.46511627906927,1.3737153047407,4.42362274654819,1
96,0.35,0.55,33,52,0.34375,0.541666666666667,0.197916666666667,0.00576959881109767,0.0602170163378177,0.335616316995516,2.25619834710721,1.26087827741864,4.03721046880973,1
96,0.35,0.55,26,56,0.270833333333333,0.583333333333333,0.3125,1.203681756947e-05,0.179728684507076,0.445271315492924,3.76923076922074,2.05615961183104,6.90953197888599,1
96,0.35,0.55,34,48,0.354166666666667,0.5,0.145833333333333,0.0410957539354006,0.0074260343923282,0.284240632274338,1.82352941176463,1.02221112575998,3.25300657738236,1
96,0.35,0.55,36,52,0.375,0.541666666666667,0.166666666666667,0.0204785871628763,0.0276958432550211,0.305637490078312,1.96969696969695,1.10710825411917,3.5043602448074,1
96,0.35,0.55,30,46,0.3125,0.479166666666667,0.166666666666667,0.0182153610429637,0.0303455528150844,0.302987780518249,2.02399999999865,1.12338298349629,3.64664238303204,1
96,0.35,0.55,43,54,0.447916666666667,0.5625,0.114583333333333,0.112331710317047,-0.0259255293711853,0.255092196037852,1.58471760298128,0.896572550430339,2.80103364752061,0
96,0.35,0.55,31,64,0.322916666666667,0.666666666666667,0.34375,1.90359704723585e-06,0.210929640123641,0.476570359876359,4.19354838709434,2.29554506210401,7.66085944694243,1
96,0.35,0.55,34,59,0.354166666666667,0.614583333333333,0.260416666666667,0.000305958156541099,0.123920486225832,0.396912847107501,2.90779014308413,1.61764828578081,5.22687384553187,1
