"n_per_arm","power"
40,0.43428503038358
45,0.478410258245062
50,0.520399294278841
55,0.560134170355737
60,0.597547820563928
65,0.632615902126118
70,0.665349288562367
75,0.695787338345649
80,0.723991956735129
85,0.75004242527011
90,0.774030951287301
95,0.796058879002773
100,0.816233499314824
105,0.834665394929476
110,0.851466259188769
115,0.866747130177448
120,0.880616985707025
125,0.893181649234498
130,0.904542961398497
135,0.914798176464156
140,0.924039547434424
145,0.932354067826437
150,0.939823342074624
155,0.946523560177522
160,0.952525555539823
165,0.957894927973922
170,0.962692216524002
175,0.966973109174297
180,0.97078867861942
