"n_per_arm","p_control_true","p_treatment_true","events_control","events_treatment","prop_control","prop_treatment","risk_difference","p_value","rd_lcl","rd_ucl","odds_ratio","or_lcl","or_ucl","reject_h0"
120,0.3,0.45,31,47,0.258333333333333,0.391666666666667,0.133333333333333,0.0274497477878585,0.0160269766942906,0.250639689972376,1.84843128589812,1.06747418365109,3.20073147530445,1
120,0.3,0.45,40,50,0.333333333333333,0.416666666666667,0.0833333333333334,0.182422439451736,-0.0387098770307765,0.205376543697443,1.42857142857115,0.844960847786943,2.4152791598273,0
120,0.3,0.45,36,57,0.3,0.475,0.175,0.0053952941734218,0.0537334153694032,0.296266584630597,2.11111111110865,1.24270596514866,3.5863593226683,1
120,0.3,0.45,39,58,0.325,0.483333333333333,0.158333333333333,0.0124465300087625,0.0357902231615565,0.28087644350511,1.94292803970156,1.15099438011028,3.27974613316259,1
120,0.3,0.45,33,60,0.275,0.5,0.225,0.000347009885468925,0.105060586212961,0.344939413787039,2.6363636363571,1.54059001852385,4.51152684331017,1
120,0.3,0.45,31,54,0.258333333333333,0.45,0.191666666666667,0.00190755360239203,0.0731067697984646,0.310226563534869,2.34897360703107,1.36277318376969,4.04885939365611,1
120,0.3,0.45,35,51,0.291666666666667,0.425,0.133333333333333,0.0312517181323383,0.0131809571276868,0.25348570953898,1.79503105589777,1.05155898836567,3.06415191851985,1
120,0.3,0.45,34,53,0.283333333333333,0.441666666666667,0.158333333333333,0.010733574008989,0.0383568554496783,0.278309811216988,2.00087796312146,1.17048266702989,3.4203946252908,1
120,0.3,0.45,27,56,0.225,0.466666666666667,0.241666666666667,8.29772162250995e-05,0.125263960532118,0.358069372801215,3.01388888888404,1.72369512654816,5.26979864051086,1
120,0.3,0.45,34,61,0.283333333333333,0.508333333333333,0.225,0.000365407241900522,0.104579642772366,0.345420357227634,2.61515453638549,1.53230077736592,4.4632446515717,1
120,0.3,0.45,38,50,0.316666666666667,0.416666666666667,0.1,0.107966834389115,-0.0212757503147964,0.221275750314796,1.54135338345781,0.908315297121608,2.6155788196296,0
120,0.3,0.45,32,51,0.266666666666667,0.425,0.158333333333333,0.0099224819794314,0.0396609863321696,0.277005680334497,2.03260869564643,1.18110746838567,3.49798661019764,1
120,0.3,0.45,34,60,0.283333333333333,0.5,0.216666666666667,0.000585466985939546,0.0962370793499361,0.337096253983397,2.52941176470072,1.48211073355666,4.31676509086007,1
120,0.3,0.45,39,53,0.325,0.441666666666667,0.116666666666667,0.0630699246295616,-0.00546758676147685,0.23880092009481,1.64293915040127,0.971773799855494,2.77765160197018,0
120,0.3,0.45,28,49,0.233333333333333,0.408333333333333,0.175,0.00368513631628413,0.0589798839099031,0.291020116090097,2.2676056337978,1.29775458252378,3.96225556023977,1
120,0.3,0.45,28,48,0.233333333333333,0.4,0.166666666666667,0.00551541025939266,0.0508671122233319,0.282466221110001,2.19047619047135,1.25262393294414,3.83050795600269,1
120,0.3,0.45,31,54,0.258333333333333,0.45,0.191666666666667,0.00190755360239203,0.0731067697984646,0.310226563534869,2.34897360703106,1.36277318376968,4.0488593936561,1
120,0.3,0.45,35,50,0.291666666666667,0.416666666666667,0.125,0.0429169175145426,0.00502352211634501,0.244976477883655,1.73469387754827,1.01553739521091,2.96312362596798,1
120,0.3,0.45,45,52,0.375,0.433333333333333,0.0583333333333333,0.357172055265997,-0.065616705861212,0.182283372527879,1.27450980392156,0.760239854239787,2.13666151706358,0
120,0.3,0.45,35,53,0.291666666666667,0.441666666666667,0.15,0.0159045420119821,0.0295519546270162,0.270448045372984,1.92110874200122,1.12666160714392,3.27574737187441,1
120,0.3,0.45,27,53,0.225,0.441666666666667,0.216666666666667,0.000370577214714587,0.100579506297013,0.33275382703632,2.72470978440691,1.55664427229267,4.76926137935703,1
120,0.3,0.45,40,56,0.333333333333333,0.466666666666667,0.133333333333333,0.0350149810196625,0.0105274589724548,0.256139207694212,1.74999999999964,1.03813241635034,2.95000902752396,1
120,0.3,0.45,31,52,0.258333333333333,0.433333333333333,0.175,0.00437271827230161,0.0567029024663826,0.293297097533617,2.19544592029702,1.27250658282207,3.78778613330192,1
120,0.3,0.45,42,49,0.35,0.408333333333333,0.0583333333333333,0.351698149638756,-0.0642097768384434,0.18087644350511,1.28169014084499,0.759929491964941,2.16168688609738,0
